sen,label_decode,label,raw_sen,length
"['先', '后', '担', '任', '北', '京', '中', '银', '信', '咨', '询', '有', '限', '责', '任', '公', '司', '总', '经', '理', '和', '凤', '凰', '城', '房', '地', '产', '开', '发', '集', '团', '有', '限', '公', '司', '、', '北', '京', '市', '保', '福', '房', '地', '产', '开', '发', '有', '限', '公', '司', '、', '北', '京', '新', '天', '麓', '房', '地', '产', '开', '发', '有', '限', '公', '司', '副', '总', '经', '理', '以', '及', '北', '京', '中', '经', '大', '厦', '物', '业', '管', '理', '有', '限', '责', '任', '公', '司', '、', '北', '京', '博', '雅', '苑', '置', '业', '有', '限', '公', '司', '董', '事', '长', '及', '集', '团', '执', '行', '董', '事', '，', '曾', '任', '本', '公', '司', '监', '事', '。']","['O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 5, 14, 15, 10, 11, 11, 11, 5, 5, 5, 14, 15, 15, 10, 11, 5, 5]",先后担任北京中银信咨询有限责任公司总经理和凤凰城房地产开发集团有限公司、北京市保福房地产开发有限公司、北京新天麓房地产开发有限公司副总经理以及北京中经大厦物业管理有限责任公司、北京博雅苑置业有限公司董事长及集团执行董事，曾任本公司监事。,118
"['杨', '帆', '，', '男', '，', '经', '济', '学', '博', '士', '。']","['B-NAME', 'I-NAME', 'O', 'O', 'O', 'B-PRO', 'I-PRO', 'I-PRO', 'B-EDU', 'I-EDU', 'O']","[5, 3, 4, 5, 5, 5, 16, 17, 17, 12, 13, 5, 5]",杨帆，男，经济学博士。,11
"['杨', '帆', '先', '生', '曾', '任', '天', '津', '开', '发', '区', '研', '究', '所', '所', '长', '、', '国', '家', '物', '价', '局', '涉', '外', '价', '格', '司', '进', '出', '口', '处', '副', '处', '长', '、', '中', '国', '社', '会', '科', '学', '院', '经', '济', '研', '究', '所', '研', '究', '员', '。']","['B-NAME', 'I-NAME', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 3, 4, 5, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 10, 11, 5, 14, 15, 15, 15, 15, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 5, 5]",杨帆先生曾任天津开发区研究所所长、国家物价局涉外价格司进出口处副处长、中国社会科学院经济研究所研究员。,51
"['现', '任', '中', '国', '政', '法', '大', '学', '商', '学', '院', '教', '授', '、', '博', '士', '生', '导', '师', '，', '湖', '北', '天', '华', '股', '份', '有', '限', '公', '司', '独', '立', '董', '事', '。']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 5, 10, 11, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 5]",现任中国政法大学商学院教授、博士生导师，湖北天华股份有限公司独立董事。,35
"['贾', '志', '颖', '女', '士', '：', '1', '9', '7', '1', '年', '出', '生', '，', '中', '国', '国', '籍', '，', '无', '境', '外', '永', '久', '居', '留', '权', '，', '本', '科', '学', '历', '。']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONT', 'I-CONT', 'I-CONT', 'I-CONT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O']","[5, 3, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 12, 13, 13, 13, 5, 5]",贾志颖女士：1971年出生，中国国籍，无境外永久居留权，本科学历。,33
"['历', '任', '天', '津', '市', '化', '工', '原', '料', '总', '公', '司', '综', '合', '分', '公', '司', '会', '计', '主', '管', '，', '天', '津', '新', '星', '文', '教', '学', '具', '有', '限', '公', '司', '财', '务', '经', '理', '，', 'G', 'M', 'P', 'T', '（', '天', '津', '）', '发', '展', '有', '限', '公', '司', '财', '务', '经', '理', '，', '天', '津', '赛', '象', '科', '技', '股', '份', '有', '限', '公', '司', '会', '计', '，', '现', '任', '天', '津', '赛', '象', '酒', '店', '有', '限', '公', '司', '财', '务', '部', '经', '理', '，', '公', '司', '监', '事', '。']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 11, 11, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 11, 5, 14, 15, 10, 11, 5, 5]",历任天津市化工原料总公司综合分公司会计主管，天津新星文教学具有限公司财务经理，GMPT（天津）发展有限公司财务经理，天津赛象科技股份有限公司会计，现任天津赛象酒店有限公司财务部经理，公司监事。,96
"['段', '继', '东', '，', '男', '，', '汉', '族', '，']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O', 'B-RACE', 'I-RACE', 'O']","[5, 3, 4, 4, 5, 5, 5, 8, 9, 5, 5]",段继东，男，汉族，,9
"['1', '9', '6', '5', '年', '5', '月', '出', '生', '，', '本', '科', '学', '历', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 12, 13, 13, 13, 5, 5]",1965年5月出生，本科学历。,15
"['曾', '任', '山', '东', '齐', '鲁', '制', '药', '集', '团', '副', '总', '经', '理', '、', '贵', '州', '神', '奇', '制', '药', '有', '限', '公', '司', '常', '务', '副', '总', '经', '理', '、', '昆', '明', '制', '药', '股', '份', '有', '限', '公', '司', '总', '裁', '等', '职', '务', '。']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O']","[5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 5, 5, 5, 5, 5]",曾任山东齐鲁制药集团副总经理、贵州神奇制药有限公司常务副总经理、昆明制药股份有限公司总裁等职务。,48
"['现', '任', '仁', '和', '药', '业', '股', '份', '有', '限', '公', '司', '独', '立', '董', '事', '，', '北', '京', '时', '代', '方', '略', '企', '业', '咨', '询', '公', '司', '董', '事', '长', '。']","['O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 11, 5, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 10, 11, 11, 5, 5]",现任仁和药业股份有限公司独立董事，北京时代方略企业咨询公司董事长。,33
"['张', '礼', '进', '，', '男', '，']","['B-NAME', 'I-NAME', 'I-NAME', 'O', 'O', 'O']","[5, 3, 4, 4, 5, 5, 5, 5]",张礼进，男，,6
"['1', '9', '7', '1', '年', '6', '月', '出', '生', '，', '毕', '业', '于', '吉', '林', '大', '学', '数', '量', '经', '济', '学', '专', '业', '，', '硕', '士', '研', '究', '生', '，', '经', '济', '师', '。']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'B-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'I-PRO', 'O', 'B-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'I-EDU', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 14, 15, 15, 15, 16, 17, 17, 17, 17, 17, 17, 5, 12, 13, 13, 13, 13, 5, 10, 11, 11, 5, 5]",1971年6月出生，毕业于吉林大学数量经济学专业，硕士研究生，经济师。,35
